ID,SignalReference,Device,SignalType,PhasorType
PPA:15,GOSLIN-METRO-PA6,GOSLIN-METRO,VPHA,V
PPA:13,GOSLIN-METRO-PA5,GOSLIN-METRO,VPHA,V
PPA:28,GRIMES-PA1,GRIMES,VPHA,V
PPA:5,GOSLIN-METRO-PA1,GOSLIN-METRO,IPHA,I
PPA:17,GOSLIN-METRO-PA7,GOSLIN-METRO,VPHA,V
PPA:6,GOSLIN-METRO-PM2,GOSLIN-METRO,IPHM,I
PPA:29,GRIMES-PM2,GRIMES,IPHM,I
PPA:23,GOSLIN-METRO-PA10,GOSLIN-METRO,VPHA,V
PPA:14,GOSLIN-METRO-PM6,GOSLIN-METRO,VPHM,V
PPA:30,GRIMES-PA2,GRIMES,IPHA,I
PPA:19,GOSLIN-METRO-PA8,GOSLIN-METRO,VPHA,V
PPA:18,GOSLIN-METRO-PM8,GOSLIN-METRO,VPHM,V
PPA:16,GOSLIN-METRO-PM7,GOSLIN-METRO,VPHM,V
PPA:27,GRIMES-PM1,GRIMES,VPHM,V
PPA:8,GOSLIN-METRO-PM3,GOSLIN-METRO,IPHM,I
PPA:10,GOSLIN-METRO-PM4,GOSLIN-METRO,IPHM,I
PPA:12,GOSLIN-METRO-PM5,GOSLIN-METRO,VPHM,V
PPA:22,GOSLIN-METRO-PM10,GOSLIN-METRO,VPHM,V
PPA:11,GOSLIN-METRO-PA4,GOSLIN-METRO,IPHA,I
PPA:21,GOSLIN-METRO-PA9,GOSLIN-METRO,IPHA,I
PPA:9,GOSLIN-METRO-PA3,GOSLIN-METRO,IPHA,I
PPA:20,GOSLIN-METRO-PM9,GOSLIN-METRO,IPHM,I
PPA:4,GOSLIN-METRO-PM1,GOSLIN-METRO,IPHM,I
PPA:7,GOSLIN-METRO-PA2,GOSLIN-METRO,IPHA,I
